Time,Flow,Stage
2015-06-09 07:00:00,494693.955463,28.68
2015-06-09 08:00:00,504611.251474,28.81
2015-06-09 09:00:00,491532.122949,28.81
2015-06-09 10:00:00,503370.456412,28.9
2015-06-09 11:00:00,499184.542126,28.97
2015-06-09 12:00:00,497288.515804,28.99
2015-06-09 13:00:00,501461.585584,29.05
2015-06-09 14:00:00,495912.650868,29.05
2015-06-09 15:00:00,509589.991271,29.17
2015-06-09 16:00:00,503979.362124,29.25
2015-06-09 17:00:00,503527.092153,29.28
2015-06-09 18:00:00,501606.458597,29.3
2015-06-09 21:00:00,522010.852489,29.52
2015-06-09 22:00:00,504072.337517,29.54
2015-06-09 23:00:00,507557.408251,29.56
2015-06-10 00:00:00,513738.181062,29.66
2015-06-10 01:00:00,500004.54587,29.61
2015-06-10 03:00:00,521936.872418,29.76
2015-06-10 04:00:00,516206.072548,29.88
2015-06-10 05:00:00,514089.499488,29.92
2015-06-10 06:00:00,512613.940785,29.95
2015-06-10 07:00:00,507871.841769,29.92
2015-06-10 08:00:00,517971.743552,30.0
2015-06-10 09:00:00,513410.659909,30.03
2015-06-10 10:00:00,516304.90391,30.07
2015-06-10 11:00:00,511831.260004,30.07
2015-06-10 12:00:00,513559.142421,30.08
2015-06-10 13:00:00,511245.033445,30.07
2015-06-10 14:00:00,518403.338165,30.13
2015-06-10 15:00:00,512319.562051,30.13
2015-06-10 16:00:00,505907.222952,30.06
2015-06-10 17:00:00,510102.190502,30.03
2015-06-10 18:00:00,516897.341868,30.09
2015-06-10 19:00:00,515152.981082,30.12
2015-06-10 20:00:00,499346.418337,29.99
2015-06-10 21:00:00,521427.95777,30.07
2015-06-10 22:00:00,506849.309004,30.05
2015-06-10 23:00:00,505663.907142,29.97
2015-06-11 00:00:00,511487.257039,29.98
2015-06-11 01:00:00,510887.386787,29.99
2015-06-11 02:00:00,504191.831514,29.92
2015-06-11 03:00:00,509678.249078,29.91
2015-06-11 04:00:00,506156.911119,29.89
2015-06-11 05:00:00,503670.021702,29.83
2015-06-11 06:00:00,501885.976128,29.76
2015-06-11 07:00:00,507570.073643,29.76
2015-06-11 08:00:00,493098.342245,29.63
2015-06-11 09:00:00,506880.476199,29.63
2015-06-11 10:00:00,500369.87682,29.59
2015-06-11 11:00:00,497593.301119,29.52
2015-06-11 12:00:00,499637.851318,29.48
2015-06-11 13:00:00,491756.399442,29.37
2015-06-11 14:00:00,502153.459768,29.37
2015-06-11 15:00:00,490949.954959,29.27
2015-06-11 16:00:00,496578.144503,29.23
2015-06-11 17:00:00,488370.214354,29.13
2015-06-11 18:00:00,501131.691179,29.16
2015-06-11 19:00:00,484195.786834,29.03
2015-06-11 20:00:00,492718.510248,28.98
2015-06-11 21:00:00,484338.188131,28.88
2015-06-11 22:00:00,490446.084791,28.84
2015-06-11 23:00:00,478375.409356,28.69
2015-06-12 00:00:00,483594.151943,28.61
2015-06-12 01:00:00,484917.451822,28.57
2015-06-12 02:00:00,480630.554333,28.48
2015-06-12 03:00:00,480545.358189,28.41
2015-06-12 04:00:00,474096.686742,28.28
2015-06-12 05:00:00,474387.521275,28.17
2015-06-12 06:00:00,480214.395558,28.15
2015-06-12 07:00:00,476335.48217,28.09
2015-06-12 08:00:00,466487.398462,27.93
2015-06-12 09:00:00,472832.633164,27.85
2015-06-12 10:00:00,468467.977953,27.76
2015-06-12 11:00:00,468241.950293,27.67
2015-06-12 12:00:00,464025.301021,27.55
2015-06-12 13:00:00,462577.687199,27.43
2015-06-12 14:00:00,467110.079552,27.38
2015-06-12 15:00:00,456099.479118,27.23
2015-06-12 16:00:00,458511.570912,27.11
2015-06-12 17:00:00,468556.039511,27.13
2015-06-12 18:00:00,454403.628457,27.0
2015-06-12 19:00:00,453058.445592,26.86
2015-06-12 20:00:00,461026.981148,26.83
2015-06-12 21:00:00,450228.259437,26.71
2015-06-12 22:00:00,455884.942353,26.64
2015-06-12 23:00:00,454025.741571,26.58
2015-06-13 00:00:00,447460.091406,26.45
2015-06-13 01:00:00,453221.738338,26.4
2015-06-13 02:00:00,447357.343354,26.31
2015-06-13 03:00:00,446397.248449,26.21
2015-06-13 04:00:00,443684.02383,26.1
2015-06-13 05:00:00,449403.299553,26.07
2015-06-13 06:00:00,443374.377235,25.98
2015-06-13 07:00:00,444059.627704,25.91
2015-06-13 08:00:00,444686.06533,25.86
2015-06-13 09:00:00,441698.312687,25.78
